,sameepisode,sametype,glovesim,distance,durationdiff,sim_0,sim_1,sim_2
sameepisode,1.0,0.009219127824661054,0.009093634856710973,-0.00671344617537992,-0.0005902017216300266,0.01368976906591816,0.025564334663023554,0.016949922991428355
sametype,0.009219127824661054,1.0,0.39595608614450417,-0.6051890508181482,-0.08615676139833514,0.02810802245207334,0.05396558082652543,0.07322122165258621
glovesim,0.009093634856710973,0.39595608614450417,1.0,-0.2837331775947009,-0.21803671731638366,0.012450325681891593,0.17485390588359853,0.2648241117056419
distance,-0.00671344617537992,-0.6051890508181482,-0.2837331775947009,1.0,0.06951893552407944,-0.04128294261916554,-0.04929986283988114,-0.0534722184089114
durationdiff,-0.0005902017216300266,-0.08615676139833514,-0.21803671731638366,0.06951893552407944,1.0,-0.23782954262714687,-0.3928899308345447,-0.5117842351847256
sim_0,0.01368976906591816,0.02810802245207334,0.012450325681891593,-0.04128294261916554,-0.23782954262714687,1.0,0.1948845244314481,0.13208782363232788
sim_1,0.025564334663023554,0.05396558082652543,0.17485390588359853,-0.04929986283988114,-0.3928899308345447,0.1948845244314481,1.0,0.7422945662030296
sim_2,0.016949922991428355,0.07322122165258621,0.2648241117056419,-0.0534722184089114,-0.5117842351847256,0.13208782363232788,0.7422945662030296,1.0
